CASEID	CONTROLID
CONTROL779	CASE129
CONTROL880	CASE141
CONTROL980	CASE230
CONTROL514	CASE10
CONTROL925	CASE76
CONTROL969	CASE96
CONTROL499	CASE12
CONTROL760	CASE84
CONTROL934	CASE41
CONTROL945	CASE148
CONTROL44	CASE160
CONTROL132	CASE178
CONTROL188	CASE211
CONTROL683	CASE215
CONTROL775	CASE232
CONTROL898	CASE235
CONTROL299	CASE150
CONTROL856	CASE248
CONTROL9	CASE3
CONTROL201	CASE138
CONTROL421	CASE183
CONTROL47	CASE2
CONTROL312	CASE4
CONTROL623	CASE44
CONTROL244	CASE6
CONTROL387	CASE42
CONTROL401	CASE132
CONTROL652	CASE166
CONTROL757	CASE200
CONTROL976	CASE217
CONTROL66	CASE9
CONTROL111	CASE201
CONTROL370	CASE47
CONTROL850	CASE244
CONTROL198	CASE66
CONTROL206	CASE111
CONTROL352	CASE173
CONTROL358	CASE218
CONTROL58	CASE53
CONTROL507	CASE198
CONTROL977	CASE206
CONTROL50	CASE100
CONTROL247	CASE147
CONTROL310	CASE190
CONTROL909	CASE36
CONTROL432	CASE50
CONTROL567	CASE171
CONTROL791	CASE176
CONTROL826	CASE214
CONTROL964	CASE247
CONTROL818	CASE74
CONTROL920	CASE26
CONTROL195	CASE169
CONTROL580	CASE227
CONTROL663	CASE231
CONTROL943	CASE234
CONTROL954	CASE250
CONTROL508	CASE29
CONTROL636	CASE196
CONTROL261	CASE16
CONTROL503	CASE187
CONTROL506	CASE220
CONTROL802	CASE5
CONTROL332	CASE90
CONTROL373	CASE194
CONTROL447	CASE28
CONTROL648	CASE86
CONTROL756	CASE92
CONTROL963	CASE122
CONTROL90	CASE135
CONTROL462	CASE137
CONTROL137	CASE14
CONTROL866	CASE216
CONTROL14	CASE113
CONTROL216	CASE117
CONTROL438	CASE124
CONTROL621	CASE185
CONTROL356	CASE131
CONTROL512	CASE249
CONTROL131	CASE39
CONTROL185	CASE149
CONTROL341	CASE156
CONTROL413	CASE158
CONTROL454	CASE199
CONTROL474	CASE210
CONTROL591	CASE240
CONTROL860	CASE245
CONTROL115	CASE24
CONTROL865	CASE110
CONTROL530	CASE168
CONTROL565	CASE184
CONTROL451	CASE153
CONTROL659	CASE165
CONTROL288	CASE83
CONTROL381	CASE94
CONTROL637	CASE105
CONTROL684	CASE108
CONTROL784	CASE119
CONTROL831	CASE193
CONTROL33	CASE55
CONTROL665	CASE89
CONTROL106	CASE35
CONTROL143	CASE91
CONTROL271	CASE104
CONTROL301	CASE115
CONTROL523	CASE243
CONTROL345	CASE20
CONTROL759	CASE242
CONTROL606	CASE127
CONTROL575	CASE212
CONTROL177	CASE17
CONTROL578	CASE22
CONTROL677	CASE33
CONTROL161	CASE43
CONTROL167	CASE52
CONTROL282	CASE99
CONTROL433	CASE106
CONTROL546	CASE143
CONTROL605	CASE189
CONTROL727	CASE203
CONTROL808	CASE238
CONTROL287	CASE175
CONTROL717	CASE182
CONTROL883	CASE224
CONTROL202	CASE161
CONTROL205	CASE163
CONTROL256	CASE82
CONTROL806	CASE239
CONTROL172	CASE34
CONTROL459	CASE46
CONTROL470	CASE226
CONTROL942	CASE229
CONTROL157	CASE27
CONTROL702	CASE202
CONTROL940	CASE205
CONTROL139	CASE70
CONTROL571	CASE102
CONTROL200	CASE162
CONTROL217	CASE172
CONTROL436	CASE157
CONTROL80	CASE139
CONTROL348	CASE146
CONTROL563	CASE188
CONTROL11	CASE191
CONTROL488	CASE80
CONTROL53	CASE11
CONTROL411	CASE58
CONTROL418	CASE121
CONTROL944	CASE237
CONTROL516	CASE204
CONTROL196	CASE40
CONTROL721	CASE120
CONTROL798	CASE195
CONTROL555	CASE197
CONTROL638	CASE60
CONTROL955	CASE154
CONTROL415	CASE61
CONTROL657	CASE140
CONTROL691	CASE72
CONTROL631	CASE116
CONTROL330	CASE81
CONTROL543	CASE123
CONTROL979	CASE142
CONTROL999	CASE192
