uid	pubdate	authors	title	fulljournalname	elocationid
40522298	2025 Jun 16	Michael M, Wong R, Gill S, Strickland AH, Pavlakis N, Shapiro JD, Link E, Farrell M, Ngan SY, Tie J, Heriot AG, Goldstein D, Mitchell C, Roth S, Wilson K, Mui M, Ramsay RG, Segelov E	The Ave-Rec trial: Phase II trial of PDL1/PD-1 blockade with Avelumab post Chemoradiotherapy for locally advanced resectable T3B-4/N1-2 Rectal cancer.	Clinical cancer research : an official journal of the American Association for Cancer Research	doi: 10.1158/1078-0432.CCR-25-0705
40521348	2025 Jun	Gaillard SL, Broadwater G, Berchuck A, Andrews WS, Havrilesky LJ, Davidson BA, Previs RA, Starr MD, Yi JS, Nixon AB, Neff JL, Conejo-Garcia JR, Secord AA	A pilot study investigating the effect of pembrolizumab on the tumoral immunoprofile of newly diagnosed mullerian cancers.	Gynecologic oncology reports	doi: 10.1016/j.gore.2025.101770
40521268	2025 May 7	Eskazan T, Saribas S, Kocazeybek B	Prognostic value of the triglyceride-glucose index in gastric cancer.	World journal of gastroenterology	doi: 10.3748/wjg.v31.i17.104651
40521255	2025 May 7	Eskazan T, Saribas S, Kocazeybek B	Prognostic value of the triglyceride-glucose index in gastric cancer.	World journal of gastroenterology	doi: 10.3748/wjg.v31.i17.104651
40521219	2025 Jul	Ali SH, Ali H, Shafi M, Malik A	Breaking barriers: exploring blood-brain barrier crossing mechanisms with nanomedicine for effective glioma treatment.	3 Biotech	doi: 10.1007/s13205-025-04378-3
40521010	2025	Chen TF, Li ZJ, Zhao HS, Yang R	Feasibility and Safety of Anlotinib Combined with Immune Checkpoint Inhibitors in Patients with Previously Immunotherapy-Treated Extensive-Stage Small Cell Lung Cancer: A Retrospective Exploratory Study.	Drug design, development and therapy	doi: 10.2147/DDDT.S525481
40520871	2025	Li Z, Shi J, Wu X, Yan S, Gao Z, Liu Y	Gut microbiota is associated with the disease characteristics of patients with newly diagnosed diffuse large B-cell lymphoma.	American journal of cancer research	doi: 10.62347/DIMG6893
40520853	2025	Yang CJ, Chuang CH, Chen YW, Huang CT, Wang PH, Zhen YY, Shah SA, Sehar M, Chuang PK	The complex interplay of TROP2 and PD-L1 in immune regulation and drug resistance in lung cancer.	American journal of cancer research	doi: 10.62347/NHFJ1535
40520531	2025	Wu J, Zhang C, Cao Q, Xuan W, Huai X, Zhou J, Tian J	Bibliometric analysis of global research on PD-L1/PD-1 pathway and neurodegenerative diseases over the last two decades (2004-2023).	Frontiers in aging neuroscience	doi: 10.3389/fnagi.2025.1570428
40520331	2025 Aug	Reith FH, Jarosch A, Albrecht JP, Ghoreschi F, Flörcken A, Dörr A, Roohani S, Schäfer FM, Öllinger R, Märdian S, Tielking K, Bischoff P, Frühauf N, Brandes F, Horst D, Sers C, Kainmüller D	PD-L1 expression assessment in Angiosarcoma improves with artificial intelligence support.	Journal of pathology informatics	doi: 10.1016/j.jpi.2025.100447
40520158	2025	Guo Y, Han S, Guo Q, Zhai J, Ren X, Li S, Duan J	Real-world analysis of immunochemotherapy in recurrent small-cell lung cancer: opportunities for second-line approaches.	Frontiers in pharmacology	doi: 10.3389/fphar.2025.1591643
40520113	2025 Jun 20	He J, Liu H, Dong Y, Hu C, Liang H, Shou D, Cao D, Du Y, Shao X, Lu Y, Wang H, Tuo C, Deng J, Zhang R, Wang X, Li B, Zhong N, Liu Y, Zhong Y, Gong W	Evolution of HER2 expression after neoadjuvant therapy in locally advanced gastric cancer.	iScience	doi: 10.1016/j.isci.2025.112710
40519936	2025	Yao J, Sun Q, Wu H, Zhao X, Yang P, Wang X, Wang X, Gu M, Li J, Zheng Y, Gong Z, Zhang D, Wang W	Decoding the molecular landscape: HER2 and PD-L1 in advanced gastric cancer.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1567308
40519935	2025	Wang Z, Sun C, Wang P, Lin S, Wu X, Gu Y	Pan-cancer analysis of TMED2: unraveling potential immune characteristics and prognostic value in cancer therapy.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1578627
40519906	2025	Wang Y, Zhang Z, Xie T, Liu Y, Zhang C, Li H, Feng R, Huang B, Liu Q, Wang N, Xing X, Han Y, Li X, Wang R, He J, Peng Z	Baseline profile peripheral Tfh cells predict immune-related adverse events in immune checkpoint inhibitor therapy of gastrointestinal cancer.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1559275
40519900	2025	Ma H, Zhang S, Jiao P, Ding H, Wang F, Zhao Y, Wu J, Guo Z	Serum IL-6 predicts immunotherapy-related adverse and outcome in advanced gastric and esophageal cancer patients with Anti-PD-1 treatment.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1553882
40518873	2025 Jun	Thomsen C, Birkelund S, Røge R	Immunohistochemical Profiling of Interferon-Stimulated Genes in Histopathological Specimens: A Potential Screening Approach for Viral Infections.	APMIS : acta pathologica, microbiologica, et immunologica Scandinavica	doi: 10.1111/apm.70034
40518811	2025 Jan-Dec	Xia X, Chen S, Huang C, Ye Y, Shen Y, Wang L	A new Score for Predicting Immune Checkpoint Inhibitor-Associated Thrombosis in Cancer Patients.	Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis	doi: 10.1177/10760296251351020
40518810	2025 Jun 16	Huang H, Peng H, He Y, Chen Y, Ye Q, Jin S, Yin N, Yang Q, Gao Y, Yang L, Bu X, Wu W, Feng M, Guo L	Self-Driving and Detachable Lab-Microrobots Tailor Drug Delivery for Closed-Loop Stimulation of the Antitumor Immune Cycle.	ACS nano	doi: 10.1021/acsnano.4c15868
40518797	2025 Jun 16	Yang Z, Yang P, Xu J, Yang X, Zhou J, He H, Li L, Ren Y, Chen M, Xiao Y, Chen J	Discovery and Crystallography Study of Novel Resorcinol Dibenzyl Ether-Based PD-1/PD-L1 Inhibitors with Improved Drug-like and Pharmacokinetic Properties for Cancer Treatment.	Journal of medicinal chemistry	doi: 10.1021/acs.jmedchem.5c00344
40518504	2025 Jun 15	Su M, Duan H, Gu Y, Zhao J	Hypoxia-related signatures predicts survival, immunosuppression and PARP inhibitor resistance in HCC.	Discover oncology	doi: 10.1007/s12672-025-02923-3
40518311	2025 Jun 13	Hidaka R, Hiromatsu Y, Tatsumoto N, Fukuyama T, Sagara Y, Uchida A, Tamai H, Tojikubo M, Akehi Y, Kawasaki E, Nakamura H	Development of Thyrotoxicosis With Positive TSH Receptor Antibody and Transition to Hypothyroidism in a Patient With Unresectable Hepatocellular Carcinoma During Combined Atezolizumab and Bevacizumab Therapy: A Case Report and Review of the Literature.	The Kurume medical journal	doi: 10.2739/kurumemedj.MS7134008
40518290	2025 Jun 15	Dadey RE, Li R, Griner J, Chen J, Singh A, Isett B, Newman S, Augustin R, Li A, Manning JA, Monga SP, Singhi A, Geller DAA, Krieg C, Zervantonakis IK, Luke JJ, Bao R	Multiomics identifies tumor-intrinsic SREBP1 driving immune exclusion in hepatocellular carcinoma.	Journal for immunotherapy of cancer	pii: e011537. doi: 10.1136/jitc-2025-011537
40518088	2025 Jun 13	Zhu Y, Zhang J, Zhao X, Guo M, Chen C, Zhou Y, Xu L	MicroRNA-7 as a Multifaceted Regulator of Tumor Glycolytic Metabolism: Mechanistic Insights and Therapeutic Perspectives.	Pharmacological research	doi: 10.1016/j.phrs.2025.107822
40517973	2025 Jun 13	Li L, Huang Y, Xue R, Li G, Li L, Liang L, Lai K, Huang X, Qin Y, Zheng Y	T Cell-Mediated Mechanisms of Immune-Related Adverse Events Induced by Immune Checkpoint Inhibitors.	Critical reviews in oncology/hematology	doi: 10.1016/j.critrevonc.2025.104808
40517176	2025 Jun 14	Heimer MM, Cimic A, Kloiber-Langhorst S, Antons MJ, Stueckl J, Hirner-Eppeneder H, Kunz WG, Dietrich O, Ricke J, Herr FL, Cyran CC	Quantitative response assessment of combined immunotherapy in a murine melanoma model using multiparametric MRI.	European radiology experimental	doi: 10.1186/s41747-025-00597-8
40517100	2025 Jun 6	Wu Y, Lu WM, Cui QR, Zhou J, Lu GD	Metabolic Regulation of cGAS-STING Signaling in the Tumor Microenvironment: Dual Immune Roles and Therapeutic Implications.	Cytokine & growth factor reviews	pii: S1359-6101(25)00074-7. doi: 10.1016/j.cytogfr.2025.06.002
40516913	2025 Jun 12	Hushmandi K, Farahani N, Einollahi B, Salimimoghadam S, Alimohammadi M, Liang L, Liu L, Sethi G	Deciphering molecular pathways in urological cancers: a gateway to precision therapeutics.	Journal of advanced research	pii: S2090-1232(25)00395-9. doi: 10.1016/j.jare.2025.06.009
40516842	2025 Jun 12	Sun M, Ni C, Li A, Liu J, Guo H, Xu F, Li K, Cao X, Shi X, Guo R	A Biomimetic Nanoplatform Mediates Hypoxia-Adenosine Axis Disruption and PD-L1 Knockout for Enhanced MRI-Guided Chemodynamic-Immunotherapy.	Acta biomaterialia	pii: S1742-7061(25)00435-0. doi: 10.1016/j.actbio.2025.06.021
40516668	2025 Jun 12	Tan J, Zhu D, Li G, Hu H, Lai Z, Li Z	A novel theranostic system of PD-L1-Aptamer-functionalized fluorescent silica nanoparticles for triple-negative breast cancer.	Nanomedicine : nanotechnology, biology, and medicine	doi: 10.1016/j.nano.2025.102834
40516574	2025 Jun 12	Kong M, Qiu L	Coordinated modulation of glucose metabolism and immunity via metal-drug nanovesicles for hepatocellular carcinoma therapy.	Journal of controlled release : official journal of the Controlled Release Society	doi: 10.1016/j.jconrel.2025.113957
40516320	2025 Jun 7	Grünwald V, Bex A, Rottey S, Suárez C, Procopio G, Velasco G, Melichar B, Bedke J, Pickering L, Fontes-Sousa M, Schmidinger M, Bamias A, Gross-Goupil M, Porta C, Barthélémy P, Escudier B, Albiges L	Current status of adjuvant immunotherapy and relapse management in renal cell carcinoma: Insights from a European delphi study.	European journal of cancer (Oxford, England : 1990)	doi: 10.1016/j.ejca.2025.115569
40515614	2025 Jun 14	Akbari B, Hasan MM, Islam SM	Advances in targeted therapy for triple-negative breast cancer: a review of key antigens and recent advances.	Journal of drug targeting	doi: 10.1080/1061186X.2025.2520306
40515573	2025 Jun 15	Belani N, Donnelly A, Spira A	An evaluation of datopotamab deruxtecan for the treatment of non-small cell lung cancer.	Expert opinion on biological therapy	doi: 10.1080/14712598.2025.2519532
40515479	2025 Jun 4	Sullivan RJ, Yeku OO, Teoh D, Gupta S, Matei D, Laino AS, Sun J, Zhu L, Van L, Pascarella S, Zacharek SJ, Do KT, Jimeno A	First-in-human phase I/II, open-label study of mRNA-2416 alone or combined with durvalumab in patients with advanced solid tumors and ovarian cancer.	The oncologist	doi: 10.1093/oncolo/oyaf115
40514707	2025 Jun 13	Petroková H, Mierzwicka JM, Chakraborty P, Rašková Kafková L, Vaculová J, Škarda J, Fischer O, Kosztyu P, Kuchař M, Raška M, Malý P	Myomedin variants developed for in vitro PD-L1 diagnostics in tissue samples of non-small cell lung carcinoma patients.	Journal of translational medicine	doi: 10.1186/s12967-025-06699-6
40514706	2025 Jun 13	Wang J, Zhu G, Guo J, Teng G	Hepatic artery infusion chemotherapy plus an immune checkpoint inhibitor and lenvatinib for the treatment of biliary tract carcinoma.	World journal of surgical oncology	doi: 10.1186/s12957-025-03882-3
40514659	2025 Jun 13	Hsiao CH, Lin YW, Liu CH, Chen YT, Nguyen HT, Chuang AE	Nano-orchestrated magnetotactic-like navigation for electromagnetic theranostics and immune enhancement via photoautotrophic oxygenation, mild hyperthermia, and ferroptosis.	Journal of nanobiotechnology	doi: 10.1186/s12951-025-03488-7
40514658	2025 Jun 13	Jin X, Wuyun T, Zhang Y, Wang X, Zhao L	Overcoming acquired immunotherapy resistance in non-small cell lung cancer using ginsenoside Rb1-loaded, peptide-enhanced exosome delivery systems.	Journal of nanobiotechnology	doi: 10.1186/s12951-025-03456-1
40514550	2025 Jun 13	Xiao D, Dong J, Xie F, Feng X, Wang J, Xu X, Tang B, Sun C, Wang Y, Zhong W, Deng H, Zhou X, Li S	Polyvalent folate receptor-targeting chimeras for degradation of membrane proteins.	Nature chemical biology	doi: 10.1038/s41589-025-01924-1
40514360	2025 Jun 13	Lee JY, Kim KJ, Park W, Seo J, Kang M, Jung EH, Kim SA, Suh KJ, Kim JW, Kim SH, Lee JO, Kim JW, Kim YJ, Lee KW, Kim JH, Bang SM, Kim TM, Paik JH	Early growth response 1 as a key regulator of PD-L1 expression and immune evasion in extranodal NK/T-cell lymphoma.	Blood cancer journal	doi: 10.1038/s41408-025-01313-w
40514069	2025 Jun 12	Zhang Y, Yu F, Ouyang J, Liu P, Dai Y, Wang Y, Yi H, Wang S, Liu D, Song K, Pei W, Hong Z, Zhang W, Huang W, Zhou G, Cao S, McLeod H, Peng C, Chen L, He Y	ADRB2 inhibition suppresses cancer immune evasion by regulating tumor SOX10-PD-L1 axis and T cell function.	Journal for immunotherapy of cancer	doi: 10.1136/jitc-2025-011611
40514068	2025 Jun 13	Chen S, Zhao Y, Cao M, Peng W, Huang H, Yang Y, Liang J, Chen W, Bai S, Zhou Q, Jiang J, Gu Y, Wang R, Cheng B	Anti-CTGF/PD-1 bispecific antibody Y126S restrains desmoplastic and immunosuppressive microenvironment in pancreatic cancer.	Journal for immunotherapy of cancer	pii: e012144. doi: 10.1136/jitc-2025-012144
40513811	2025 Jun 11	Saeed SH, Sinnamon AJ, Fontaine JP, Mehta RJ, Baldonado JJ, Pena LR, Pereira AAL, Hoffe SE, Frakes JM, Pimiento JM	Survival after Esophagectomy for Metastatic Esophageal Cancer: Should the Role of Surgery be Reconsidered?	Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract	doi: 10.1016/j.gassur.2025.102118
40513669	2025 Jun 11	Henrich EM, McHugh KJ	Advanced biomaterials for the targeted delivery of immune checkpoint inhibitors to solid tumors.	Journal of controlled release : official journal of the Controlled Release Society	doi: 10.1016/j.jconrel.2025.113951
40513524	2025 Jun 12	Yu B, Qi C, Liu Z, Ma N, Tian C, Wang Y, Li C, Li Z	Spatial heterogeneity of PD-L1 expression influence its assessment in esophageal squamous cell carcinoma.	Translational oncology	doi: 10.1016/j.tranon.2025.102442
40513286	2025 Jun 7	Jiménez-Labaig P, Mohamed F, Tan NJI, Sanna I, El Bairi K, Khan SZ, Akhade A, Amaral T, Trapani D, Patel A, Harrington KJ	Expanding access to cancer immunotherapy: A systematic review of low-dose PD-(L)1 inhibitor strategies.	European journal of cancer (Oxford, England : 1990)	doi: 10.1016/j.ejca.2025.115564
40513285	2025 Jun 3	Lipson EJ, Stephen Hodi F, Tawbi H, Schadendorf D, Ascierto PA, Matamala L, Gutierrez EC, Rutkowski P, Gogas HJ, Lao CD, Menezes JJ, Dalle S, Arance A, Gaudy-Marqueste C, Chen B, Jackson W, Mukherjee S, Dolfi S, Long GV	Nivolumab plus relatlimab in advanced melanoma: RELATIVITY-047 4-year update.	European journal of cancer (Oxford, England : 1990)	doi: 10.1016/j.ejca.2025.115547
40513139	2025 Jun 12	Sato S, Rhodes SL, Aoki Y, Nakayama I, Hashimoto T, Hawkins J, Yanes RE, Chang CH, Nakamura Y, Kawazoe A, Mishima S, Kotani D, Kuboki Y, Bando H, Kojima T, Yoshino S, Reading S, Honeycutt H, Finger E, Endo I, Sakamoto N, Kuwata T, Yoshino T, Shitara K	Clinical characterization of FGFR2b expression in patients with advanced gastric or gastroesophageal junction adenocarcinoma.	ESMO open	doi: 10.1016/j.esmoop.2025.105322
40512406	2025 Jun 13	Yang Z, Zhong D, Hu X, Chen W, Liao Y, He X	NFATC2/SERPINE1/JAK3/STAT3 signaling feedback loop in gastric cancer: immune evasion and anti-PD-1 resistance.	Cell biology and toxicology	doi: 10.1007/s10565-025-10050-6
40512241	2025 Jun 13	Tang LQ, Liu SL, Yang MH, Wang HC, Zhou YJ, Yang KY, Li Q, Hui M, Chen XZ, Leu YS, Chen LT, Liu LT, Guo SS, Chen QY, Wang S, Zhu HQ, Shen HG, Wang Y, Guo Y, Mai HQ	GFH018 and toripalimab combination therapy for previously treated recurrent or metastatic nasopharyngeal carcinoma: Results from a phase 1b/2 study.	Clinical cancer research : an official journal of the American Association for Cancer Research	doi: 10.1158/1078-0432.CCR-25-0085
40512213	2025 Jun 13	Hong Y, Chen S, Jiang X, Zhang J, Liang X, Yao J, Gao S, Hua C	Exosomes as immunomodulators in autoimmune inflammation: implications for primary Sjögren's disease.	Inflammation research : official journal of the European Histamine Research Society ... [et al.]	doi: 10.1007/s00011-025-02053-0
40512146	2025 Jun 13	Li S, Shapiro JW, Shah H, Higgs EF, Xie L, Li Y, Zha Y, Trujillo J, Cabanov A, Jones TA, Flood B, Hatogai K, Tonea R, Kline J, Gajewski TF	Tumor cell-intrinsic Decr2 regulates ferroptosis and immunotherapy efficacy.	Cancer immunology research	doi: 10.1158/2326-6066.CIR-24-0519
40512079	2025 Jun 13	Tiburcio PDB, Desai K, Warne A, Nabbi A, Zhou S, Reiff SD, Campbell ME, Amatruda JF, Chen KS	PD-L1 Expression is Mediated by microRNA Processing, Wnt/β-Catenin Signaling, and Chemotherapy in Wilms Tumor.	Pediatric blood & cancer	doi: 10.1002/pbc.31852
40511826	2025 Jun 12	Li C, Zhu H, Lin Q, Chen W, Huang X, Wang D	Determination of PD-L1 Expression in Circulating Tumor Cells of Hypopharyngeal and Laryngeal Cancers and Correlation with Tissue Detection.	Anti-cancer agents in medicinal chemistry	doi: 10.2174/0118715206340244250605061005
40511536	2025 Jul	Park AY, Kim JH, Lee S, Kim HS, Kim HK, Lee HB, Han W	Impact of PD‑L1 upregulation on immune checkpoint inhibitor efficacy in triple‑negative breast cancer using a 4T1 murine model.	International journal of oncology	pii: 54. doi: 10.3892/ijo.2025.5760
40510923	2025 Jun	Tay-Teo K, Trapani D, Sengar M, Aziz Z, Meheus F, Ilbawi A, de Vries EGE, Moja L	Modelling the potential financial impacts of expanding access to immune checkpoint inhibitors as monotherapy for treating advanced non-small cell lung cancer.	EClinicalMedicine	doi: 10.1016/j.eclinm.2025.103261
40510401	2025 Jun	Pixberg C, Maurer C, Smetanay K, Straßl L, Hlevnjak M, Zapatka M, Wagner CV, Yazdanparast H, Kurzawa J, Erben V, Feng F, Hong C, Hübschmann D, Buschhorn L, Suppelna JP, Michel L, Heublein S, Fremd C, Zivanovic O, Sinn P, Stenzinger A, Haidinger R, Schumacher-Wulf E, Ditsch N, Loibl S, Fröhling S, Link T, Wimberger P, Blohmer JU, Huebner H, Fasching PA, Janni W, Schlenk RF, Thewes V, Lichter P, Schneeweiss A	COGNITION-GUIDE - Genomics-Guided Targeted Post-Neoadjuvant Therapy in Patients with Early Breast Cancer: Study Design of a Multicenter, Open-Label, Umbrella Phase II Study.	Geburtshilfe und Frauenheilkunde	doi: 10.1055/a-2557-1876
40510364	2025	Yao Z, Li G, Pan D, Pei Z, Fang Y, Liu H, Han Z	Roles and functions of tumor-infiltrating lymphocytes and tertiary lymphoid structures in gastric cancer progression.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1595070
40510356	2025	Hu M, Yin R, Deng K, Xu N	Drug repurposing of fostamatinib against cancer via potential cytotoxicity and immune checkpoint regulation.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1602189
40510355	2025	Yang F, Mao Y, Huang H, Luo W, Liu L, Chen W	The efficacy and safety of regorafenib/fruquintinib combined with PD-1/PD-L1 for metastatic colorectal cancer: a meta-analysis based on single-arm studies.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1579293
40510347	2025	Liu Y, Qin D, Fu J	T lymphocyte heterogeneity in NSCLC: implications for biomarker development and therapeutic innovation.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1604310
40510346	2025	Zimmer YN, Hanke B, Neyazi B, Rashidi A, Schaufler A, Dumitru CA, Ignatov A, Mawrin C, Sandalcioglu IE, Stein KP	The landscape and clinical impact of tumor-associated macrophages and PD-L1 in primary breast cancers and their brain metastases.	Frontiers in immunology	doi: 10.3389/fimmu.2025.1598293
40510156	2025	Chen C, Chen J, Zhang Y, Zhang Q, Shi H	Senescence-associated secretory phenotype in lung cancer: remodeling the tumor microenvironment for metastasis and immune suppression.	Frontiers in oncology	doi: 10.3389/fonc.2025.1605085
40509605	2025 Jun 12	Huang Y, He S, Xu J, Zou T, Liu J, Huang C, Chen Y, Liu H, Lei A, Wei H, Yu CY	Biomimetic Delivery of Cisplatin for Efficient Immunotherapy of Gasdermin E-Positive Hepatocellular Carcinoma via a Pt Concentration-Dependent Minimalist Pyroptosis Strategy.	Advanced healthcare materials	doi: 10.1002/adhm.202500766
40509568	2025 Jun 12	Wang H, Yi X, Qu D, Wang X, Wang H, Zhang H, Yang Y, Gao T, Guo W, Li C	Tumorous cholesterol biosynthesis curtails anti-tumor immunity by preventing MTOR-TFEB-mediated lysosomal degradation of CD274/PD-L1.	Autophagy	doi: 10.1080/15548627.2025.2519066
40508202	2025 Jun 4	Morchón-Araujo D, Catani G, Mirallas O, Pretelli G, Sánchez-Pérez V, Vieito M, Braña I, Pujol-Borrell R, Garralda E, Hernando-Calvo A	Emerging Immunotherapy Targets in Early Drug Development.	International journal of molecular sciences	doi: 10.3390/ijms26115394
40508140	2025 Jun 1	Cao G, Memida T, Huang S, Dalir Abdolahinia E, Ruiz S, Hassantash S, Ari J, Shindo S, Lin J, Kawai T, Han X	Pro-Resolving Macrophage-Induced IL-35(+) but Not TGF-β1(+) Regulatory B Cell Activation Requires the PD-L1/PD-1 Pathway.	International journal of molecular sciences	doi: 10.3390/ijms26115332
40507905	2025 May 26	Liu P, Chen Y	Integrative Analysis of EPHX4 as a Novel Prognostic and Diagnostic Biomarker in Lung Adenocarcinoma.	International journal of molecular sciences	doi: 10.3390/ijms26115095
40507370	2025 Jun 5	Pourakbar N, Motamedi A, Pashapour M, Sharifi ME, Sharabiani SS, Fazlollahi A, Abdollahi H, Rahmim A, Rezaei S	Effectiveness of Artificial Intelligence Models in Predicting Lung Cancer Recurrence: A Gene Biomarker-Driven Review.	Cancers	doi: 10.3390/cancers17111892
40507271	2025 May 27	Moiseenko F, Radulovic M, Tsvetkova N, Chernobrivceva V, Gabina A, Oganesian A, Makarkina M, Elsakova E, Krasavina M, Barsova D, Artemeva E, Khenshtein V, Levchenko N, Chubenko V, Egorenkov V, Volkov N, Bogdanov A, Moiseyenko V	Baseline Radiomics as a Prognostic Tool for Clinical Benefit from Immune Checkpoint Inhibition in Inoperable NSCLC Without Activating Mutations.	Cancers	doi: 10.3390/cancers17111790
40507250	2025 May 25	Voiculescu VM, Popescu AI, Costache M	Immunohistochemistry for Skin Cancers: New Insights into Diagnosis and Treatment of Melanoma.	Cancers	doi: 10.3390/cancers17111769
40507249	2025 May 25	Mun HS, Kim SH, Lee J, Park SJ, Lee A, Kang J, Park WC, Bae SY, Choi BO, Hong JH, Oh SN, Shin K	Skeletal Muscle Density as a Predictive Marker for Pathologic Complete Response in Triple-Negative Breast Cancer Treated with Neoadjuvant Chemoimmunotherapy.	Cancers	doi: 10.3390/cancers17111768
40507229	2025 May 23	Mani M, Park JW, Martin TFJ	Regulatory Mechanisms and Therapeutic Targeting of PD-L1 Trafficking and Stability in Cancer Immunotherapy.	Cancers	doi: 10.3390/cancers17111747
40506719	2025 Jun 12	Dai L, Huang L, Li L, Tang L, Shi Y, Han X	Unraveling the role of HDAC3 as an immunotherapy prognostic biomarker and therapeutic target in advanced non-small cell lung cancer.	Respiratory research	doi: 10.1186/s12931-025-03275-w
