Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0007059	chromosome segregation	 	1.480E-27	1.484E-23	1.856E-24	1.817E-23	130	342	KIF18A,USP9X,SPC25,ESCO1,MAD1L1,CUL3,SLC25A5,BIRC5,CCNB1IP1,RAB11A,MEIOB,RIOK3,BRCA1,BRCA2,BUB1,BUB1B,PRC1,CCNB1,SMC3,CDC20,AURKB,PTTG1,CENPE,CENPF,TRIP13,BOD1,KIF23,ANAPC15,SYCP3,NSL1,ESPL1,RNF212B,DLGAP5,NUF2,CDCA2,FBXO5,KIF14,SMC4,ECT2,ESCO2,TRAPPC12,DYNC1LI1,NUSAP1,ANKRD31,ERCC2,BRIP1,CENPW,KATNB1,MEI4,SYCP2,NDC80,TACC3,LCMT1,SLF1,SMC2,SPAG5,STAG3,SMC1B,EHMT2,SPATA22,KIF2C,TLK2,HORMAD2,CIT,ZWINT,MAEL,OIP5,SYCE1,INCENP,RAD21L1,SGO2,KIF25,MAD2L1,SGO1,MKI67,MOS,MRE11,RACGAP1,GEN1,MIS18A,SYCE3,NUP37,TERB1,DSCC1,PLK1,ANAPC4,PPP1R7,NDE1,SPDL1,PINX1,RAD51C,RAN,CDCA8,CEP55,CENPQ,MCMBP,HJURP,DSN1,RMI1,TERB2,CENPT,C14orf39,CHTF18,CDCA5,WAPL,CENPN,SRPK1,CENPK,RCC2,ABRAXAS2,AURKC,NCAPG,RRS1,KHDC3L,RNF212,TEX15,TEX12,NCAPH,SKA1,TOP2B,TTK,CEP85,CENPH,RAD18,MEIKIN,KIF4A,FAM83D,KNL1,M1AP,SKA3
GO: Biological Process	GO:0051321	meiotic cell cycle	 	4.185E-23	4.198E-19	3.816E-20	3.737E-19	106	276	KIF18A,RAD54L,FKBP6,CCNB1IP1,MEIOB,BRCA2,BRDT,BUB1,BUB1B,SMC3,CDC20,CDC25A,CDC25C,PTTG1,CLGN,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,DAZL,NUF2,SLC26A8,FBXO5,DMRT1,SMC4,RAD50,ANKRD31,BRIP1,MND1,NPM2,MEI4,SYCP2,SMC2,STAG3,SMC1B,TUBGCP4,EHMT2,SPATA22,HORMAD2,TDRKH,WEE2,MAEL,SYCE1,CCNB3,RAD21L1,SGO2,SGO1,MKI67,MOS,MRE11,BTBD18,MSH3,MSX2,PLD6,MYBL1,REC114,SYCE3,MOV10L1,ASPM,TERB1,PLK1,DDX4,SLC2A8,RAD1,RAD51,RAD51C,RAD51B,MEIG1,ASZ1,RBBP8,PIWIL2,SUV39H2,MNS1,EXD1,RMI1,TERB2,C14orf39,CHTF18,DMRTC2,PIWIL3,WAPL,TOPAZ1,AURKA,AURKC,DPEP3,PLCB1,RNF212,TEX15,TEX12,TDRD1,NCAPH,TOP2B,TTK,UBB,XRCC2,FBXO43,FAM9B,FAM9C,TDRD9,MEIKIN,SPIRE1,SHCBP1L,M1AP,SPDYA
GO: Biological Process	GO:0140013	meiotic nuclear division	 	4.185E-23	4.198E-19	3.816E-20	3.737E-19	106	276	KIF18A,RAD54L,FKBP6,CCNB1IP1,MEIOB,BRCA2,BRDT,BUB1,BUB1B,SMC3,CDC20,CDC25A,CDC25C,PTTG1,CLGN,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,DAZL,NUF2,SLC26A8,FBXO5,DMRT1,SMC4,RAD50,ANKRD31,BRIP1,MND1,NPM2,MEI4,SYCP2,SMC2,STAG3,SMC1B,TUBGCP4,EHMT2,SPATA22,HORMAD2,TDRKH,WEE2,MAEL,SYCE1,CCNB3,RAD21L1,SGO2,SGO1,MKI67,MOS,MRE11,BTBD18,MSH3,MSX2,PLD6,MYBL1,REC114,SYCE3,MOV10L1,ASPM,TERB1,PLK1,DDX4,SLC2A8,RAD1,RAD51,RAD51C,RAD51B,MEIG1,ASZ1,RBBP8,PIWIL2,SUV39H2,MNS1,EXD1,RMI1,TERB2,C14orf39,CHTF18,DMRTC2,PIWIL3,WAPL,TOPAZ1,AURKA,AURKC,DPEP3,PLCB1,RNF212,TEX15,TEX12,TDRD1,NCAPH,TOP2B,TTK,UBB,XRCC2,FBXO43,FAM9B,FAM9C,TDRD9,MEIKIN,SPIRE1,SHCBP1L,M1AP,SPDYA
GO: Biological Process	GO:1903046	meiotic cell cycle process	 	4.185E-23	4.198E-19	3.816E-20	3.737E-19	106	276	KIF18A,RAD54L,FKBP6,CCNB1IP1,MEIOB,BRCA2,BRDT,BUB1,BUB1B,SMC3,CDC20,CDC25A,CDC25C,PTTG1,CLGN,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,DAZL,NUF2,SLC26A8,FBXO5,DMRT1,SMC4,RAD50,ANKRD31,BRIP1,MND1,NPM2,MEI4,SYCP2,SMC2,STAG3,SMC1B,TUBGCP4,EHMT2,SPATA22,HORMAD2,TDRKH,WEE2,MAEL,SYCE1,CCNB3,RAD21L1,SGO2,SGO1,MKI67,MOS,MRE11,BTBD18,MSH3,MSX2,PLD6,MYBL1,REC114,SYCE3,MOV10L1,ASPM,TERB1,PLK1,DDX4,SLC2A8,RAD1,RAD51,RAD51C,RAD51B,MEIG1,ASZ1,RBBP8,PIWIL2,SUV39H2,MNS1,EXD1,RMI1,TERB2,C14orf39,CHTF18,DMRTC2,PIWIL3,WAPL,TOPAZ1,AURKA,AURKC,DPEP3,PLCB1,RNF212,TEX15,TEX12,TDRD1,NCAPH,TOP2B,TTK,UBB,XRCC2,FBXO43,FAM9B,FAM9C,TDRD9,MEIKIN,SPIRE1,SHCBP1L,M1AP,SPDYA
GO: Biological Process	GO:0051276	chromosome organization	 	6.794E-23	6.816E-19	5.680E-20	5.561E-19	314	1287	NCOA3,KIF18A,ACTL6A,ESCO1,GATAD2B,CDC45,CENPP,PARP1,MTA3,MAD1L1,RAD54L,CUL4A,CUL3,SUPT3H,HIRIP3,HIPK4,LEO1,RAE1,BIRC5,COPS3,CAMK1,TP63,KDM1B,CCNB1IP1,RAB11A,MEIOB,SAP30,BNC1,PYGO2,BRCA1,BRCA2,BRDT,MCM3AP,BUB1,BUB1B,RNF8,PRC1,CCNA2,CCNB1,SMC3,AIFM1,PADI6,CDK1,CDC20,CDK5,L3MBTL4,AURKB,PTTG1,CENPA,CENPE,CENPF,PIWIL1,CHEK1,TRIP13,TRIP12,GTF3C4,BOD1,KPNA7,ASF1A,BRMS1,PRKD2,KIF23,ANAPC15,SYCP3,NSL1,CTCFL,PPM1F,ESPL1,RNF212B,KMT2B,CENPL,JADE3,DLGAP5,NUF2,DDX1,FBXO5,SUPT7L,KIF14,DKC1,DCLRE1A,USP3,NR1H4,DNMT1,RBX1,DNMT3A,DNMT3B,L3MBTL2,CHAF1A,SMC4,RAD50,ESCO2,TRAPPC12,COPS4,DYNC1LI1,LEF1,NUSAP1,ANKRD31,ERCC2,BRIP1,CENPW,KATNB1,EYA1,EYA2,NPM2,MEI4,PCGF6,SYCP2,SCML2,NDC80,ABRAXAS1,TACC3,FH,SETD3,LCMT1,SFMBT1,SLF1,ATG7,GINS4,PPHLN1,CCT2,SIRT6,SMC2,SPAG5,DNAJC2,TADA1,CCT8,GINS2,POLD3,PTGES3,STAG3,SMC1B,MCM8,EHMT2,COPS8,MSL3,SPATA22,COPS6,KIF2C,TLK2,HORMAD2,CECR2,WDR5,PRDM4,CIT,ZWINT,PWP1,KAT7,GTF2F2,NUDT5,WDHD1,BAZ1A,MAEL,HELLS,HHEX,OIP5,HMGB2,HMGB3,GTF2H5,HSF4,SYCE1,HSP90AA1,DCP2,IGF2,INCENP,RAD21L1,ISL1,JARID2,SGO2,KIF25,LIG4,LOXL2,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM7,SGO1,MKI67,MOS,MRE11,MSH2,MSH3,BRD7,RACGAP1,UHRF1,GEN1,MYB,NAP1L1,NAP1L4,NASP,NOS1,MIS18A,PCNA,SYCE3,CENPM,TERB1,PRMT7,DSCC1,PLK1,ANAPC4,INO80E,POLD2,CENPO,POU5F1,PRIM1,PRIM2,PRKCQ,MAPK8,ERCC6L,BCORL1,PAGR1,NCAPG2,SPDL1,PINX1,RAD23B,RAD51,RAD51C,RAN,MCPH1,RBBP4,RBBP5,RBBP7,CENPU,PIWIL2,DPF2,RFC3,RFC4,RFC5,ELP3,CDCA8,TBL1XR1,SUV39H2,CEP55,CENPQ,RIF1,NAT10,NAA40,RPA2,MCMBP,HJURP,DSN1,TERB2,CENPT,OTUB1,C14orf39,CHD7,SKP1,ZNF365,IWS1,KDM4D,SNW1,CCT5,ASF1B,CHTF18,SMARCA2,DMRTC2,PABPC1L,CDCA5,SOX15,WAPL,CENPN,SRPK1,RAD54L2,PHF8,CENPK,AURKA,AURKC,RCOR1,NCAPG,RRS1,KHDC3L,TADA2A,TAF5,TAF9,SATB2,VPS72,TCP1,RNF212,TEX15,TEX12,NCAPH,RYBP,DCLRE1C,ACTR6,RNF20,KDM7A,TOP2B,PADI4,TTK,UBB,UBE2A,UBE2E1,COPS7B,SMYD3,VRK1,NSD2,POLE4,DCLRE1B,DPPA3,CENPH,RAD18,ACD,MEIKIN,KIF4A,SMYD2,TDRD3,USP7,NAV2,SHCBP1L,KNL1,M1AP,YEATS4,CBX8
GO: Biological Process	GO:0098813	nuclear chromosome segregation	 	5.800E-22	5.819E-18	4.476E-19	4.382E-18	105	280	KIF18A,ESCO1,MAD1L1,CUL3,BIRC5,CCNB1IP1,RAB11A,MEIOB,BRCA2,BUB1,BUB1B,PRC1,CCNB1,SMC3,CDC20,AURKB,PTTG1,CENPE,CENPF,TRIP13,BOD1,KIF23,ANAPC15,SYCP3,NSL1,ESPL1,RNF212B,DLGAP5,NUF2,FBXO5,KIF14,SMC4,ECT2,ESCO2,TRAPPC12,DYNC1LI1,NUSAP1,ANKRD31,BRIP1,KATNB1,MEI4,SYCP2,NDC80,TACC3,LCMT1,SLF1,SMC2,SPAG5,STAG3,SMC1B,EHMT2,SPATA22,KIF2C,HORMAD2,CIT,ZWINT,MAEL,SYCE1,INCENP,RAD21L1,SGO2,KIF25,MAD2L1,SGO1,MOS,MRE11,RACGAP1,GEN1,SYCE3,TERB1,DSCC1,PLK1,ANAPC4,SPDL1,PINX1,RAD51C,RAN,CDCA8,CEP55,CENPQ,MCMBP,DSN1,RMI1,TERB2,C14orf39,CDCA5,WAPL,CENPK,RCC2,ABRAXAS2,AURKC,NCAPG,RRS1,KHDC3L,RNF212,TEX15,TEX12,NCAPH,TOP2B,TTK,MEIKIN,KIF4A,FAM83D,KNL1,M1AP
GO: Biological Process	GO:0051301	cell division	 	1.412E-19	1.416E-15	1.012E-16	9.905E-16	196	725	NCOA3,SDE2,USP9X,SPC25,MAD1L1,CUL3,RAE1,BIRC5,TRIM71,SPC24,TP63,NUMB,RAB11A,BBS4,CCNK,BDNF,BRCA2,CDC123,BUB1,BUB1B,TIMELESS,DAGLB,RNF8,RUNX1,PRC1,CCNA2,CCNB1,CCNF,SMC3,CCNB2,CDK1,CDC20,CDC25A,CDC25C,CDK3,CDK5,AURKB,CDK7,PTTG1,CENPA,CENPE,CENPF,CETN1,BOD1,CKS1B,CKS2,CLTA,KIF23,ANAPC15,SYCP3,NSL1,KIF20B,ESPL1,CDCA3,KNTC1,NUF2,DCT,DCTN1,CDCA2,FBXO5,KIF14,DCLRE1A,L3MBTL2,SMC4,ECT2,KIF20A,SH3GLB1,HMCN1,DYNC1LI1,CKAP2,LEF1,NUSAP1,ERCC2,BRIP1,CENPW,ESRRB,KATNB1,CCNO,SYCP2,NDC80,N4BP2L2,FGF6,FGF9,TACC3,ZBTB18,ANAPC7,SIRT6,SMC2,SPAG5,RAB11FIP4,SIX2,GIPC1,DISC1,PARD6B,RAB10,INSC,KIF2C,CECR2,TUBA1C,KATNA1,CIT,ZWINT,ZFYVE19,HELLS,OIP5,HMGB2,HAUS8,SYCE1,IGF2,CCNB3,INCENP,SGO2,KDF1,KIT,KIF11,LIG4,LLGL2,EPCAM,MAD2L1,SGO1,RACGAP1,MYB,MYH10,NEK1,NEK3,NFATC1,NKX3-1,MIS18A,E2F7,SYCE3,ABCB1,PIK3C3,ANLN,PIK3CB,NUP37,ASPM,GPSM2,PLK1,ANAPC4,POU5F1,MAPK8,NDE1,ERCC6L,NCAPG2,SPDL1,TIPIN,NKAP,RAN,ZWILCH,RBBP8,HAUS2,CDCA8,E2F8,CEP55,BORA,MCMBP,NANOG,DSN1,TRIM36,HAUS7,CENPT,FERMT1,ZNF365,TPX2,CHFR,REEP4,PRDM15,CDCA5,WAPL,CENPJ,SPAST,TOPAZ1,NEDD1,BIN3,ANKLE2,RCC2,ABRAXAS2,AURKA,AURKC,NCAPG,TAF4B,DYNLT1,NCAPH,THBS4,SKA1,ORC6,TSG101,VRK1,DPPA3,KIF4A,SPIRE1,FAM83D,SHCBP1L,KNL1,FZD3,SKA3
GO: Biological Process	GO:0006259	DNA metabolic process	 	8.126E-19	8.152E-15	5.435E-16	5.321E-15	262	1080	ZNF93,SDE2,USP9X,ACTL6A,ESCO1,CDC45,PARP1,RAD54L,CUL4A,TICRR,RNF169,FKBP6,COPS3,ERI1,KDM1B,CCNB1IP1,TNFSF13,MEIOB,BARD1,ALKBH1,BRCA1,BRCA2,TIMELESS,UHRF2,RNF8,CASP3,CCNA2,CCNH,USP10,SMC3,AIFM1,CDK1,AURKB,CDK7,PTTG1,CENPF,CETN1,CHEK1,TRIP13,TRIP12,LONP1,WIZ,ASF1A,PRKD2,RRM2B,SYCP3,CTCFL,DDX1,FBXO5,DKC1,DCLRE1A,USP3,DNMT1,RBX1,DNMT3A,DNMT3B,THOC1,CHAF1A,PARP2,TOM1L1,EXOSC3,SMC4,KRBA2,GMNN,RAD50,ESCO2,COPS4,SPRTN,LEF1,ANKRD31,ERCC2,BRIP1,MND1,EYA1,EYA2,NPM2,MEI4,ABRAXAS1,ASCC2,FH,FHIT,REV1,SLF1,ATG7,RPAIN,DTL,GINS4,PPHLN1,CCT2,SIRT6,SMC2,TDP2,DNAJC2,PIAS4,RAD51AP1,CCT8,GINS2,POLD3,PTGES3,MGME1,MORC1,MCM8,GFER,APEX2,EHMT2,COPS8,DBF4,PRPF19,SPATA22,COPS6,TDRKH,CECR2,KAT7,TBRG1,WDHD1,BAZ1A,MAEL,POLG2,HELLS,USP45,HMGB2,HMGB3,GTF2H5,HSP90AA1,DCP2,RAD21L1,ISG20,KPNA2,LIG4,MCM2,MCM3,MCM4,MCM5,MCM7,MGMT,MRE11,MSH2,MSH3,UBE2T,UHRF1,PLD6,GEN1,NAP1L1,NASP,SFR1,NFRKB,MIS18A,ORC1,ORC4,ORC5,PCNA,REC114,E2F7,SYCE3,AUNIP,ERI3,MOV10L1,ETAA1,PRMT7,DSCC1,DDX4,INO80E,PMS1,PMS2,POLB,POLD2,POLR2D,POLR2I,RAD9B,POU5F1,PPP4C,PRIM1,PRIM2,PRKCG,PRKCQ,MAPK8,RNF111,PAGR1,ALKBH5,TIPIN,RAD1,PINX1,PARPBP,RAD23B,RAD51,RAD51C,RAD51B,RAN,ASZ1,RBBP4,RBBP7,RBBP8,FANCL,PIWIL2,RFC3,RFC4,RFC5,E2F8,RIF1,FANCI,NAT10,NEIL3,RPA2,UBE2W,MCMBP,ATAD5,RRM2,GRHL2,RMI1,SMPD3,OTUB1,C14orf39,ZNF365,KDM4D,CCDC88A,KIN,CCT5,CHTF18,CLSPN,TDP1,CDCA5,WAPL,TCP1,ALKBH2,RNF212,TEX15,TEX12,TDRD1,DCLRE1C,TOP2B,ORC6,ORC3,TYMS,UBB,UBE2A,UBE2D3,UBE2V1,COPS7B,UNG,USP1,GINS3,NSD2,POLE4,DCLRE1B,NABP1,XRCC2,DPPA3,RAD18,ACD,TDRD9,RNF113A,SPIRE1,EXOSC5,XAB2,NT5M,USP7,CDADC1,SLBP,TDRD5,TIGAR,MMS22L,CBX8
GO: Biological Process	GO:0022412	cellular process involved in reproduction in multicellular organism	 	1.994E-18	2.001E-14	1.250E-15	1.224E-14	130	420	MKKS,KIF18A,TDRD6,FKBP6,KDM1B,CCNB1IP1,MEIOB,BBS4,BMPR1B,PYGO2,BRCA2,BRDT,RNF8,MAP7,RUNX1,CCNB1,NEURL1,SOHLH1,PIWIL1,TRIP13,SYCP3,SPAG6,CTCFL,CEP57,ADAD1,KMT2B,DAZL,CABYR,SLC26A8,FBXO5,DIAPH2,DLD,DMRT1,JAM3,DNMT3A,ROPN1L,YBX2,BSCL2,BRIP1,NPM2,MEI4,SYCP2,HOOK1,RHBDD1,DEAF1,MTOR,STAG3,MORC1,GDF9,EHMT2,TDRKH,ADRM1,INSL6,WEE2,MAEL,HEXB,CATSPERD,HMGB2,AGFG1,SGO2,KIT,ZGLP1,BTBD18,MSH2,DDX25,GALNTL5,PLD6,MYBL1,NOBOX,OCA2,ODF2,CCDC63,DND1,IZUMO1R,MOV10L1,TAF7L,ASPM,PRMT7,PLK1,DDX4,SLC2A8,EQTN,SPAG16,RAD51C,ASZ1,PIWIL2,SUV39H2,ROBO2,STRBP,C14orf39,DZIP1,CHTF18,SMARCA2,DMRTC2,PABPC1L,CFAP44,TOPAZ1,SRPK1,AURKA,AURKC,DPEP3,PLCB1,TAF4B,TCP11,TEX15,RNF17,TDRD1,NCAPH,TDRD7,DDIAS,ICA1L,TTK,UBB,OSBP2,CCDC42,ZSCAN21,FAM9B,FAM9C,SLC26A6,TDRD9,MEIKIN,SPIRE1,ZP3,SHCBP1L,KNL1,TDRD5,M1AP,IFT88,SPDYA,FIGLA
GO: Biological Process	GO:0044848	biological phase	 	5.045E-18	5.061E-14	2.977E-15	2.915E-14	68	160	RAD54L,BARX2,CCNB1IP1,SYCP2L,MEIOB,BRCA2,BRDT,CDC20,CDH3,PTTG1,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,FBXO5,DMRT1,RAD50,GAL,ANKRD31,BRIP1,MND1,MEI4,SYCP2,STAG3,EHMT2,SPATA22,WEE2,MAEL,SYCE1,RAD21L1,SGO2,MRE11,BTBD18,MSH3,MSX2,MYBL1,NFATC1,SYCE3,MOV10L1,TERB1,PLK1,DDX4,SLC2A8,PSEN1,PTGS2,RAD51,RAD51C,RAD51B,PIWIL2,RMI1,TERB2,FERMT1,C14orf39,CHTF18,DMRTC2,TOPAZ1,AURKA,RNF212,TEX15,TEX12,TOP2B,TTK,UBB,TDRD9,MEIKIN,M1AP
GO: Biological Process	GO:0007276	gamete generation	 	1.409E-17	1.414E-13	7.855E-15	7.691E-14	203	790	MKKS,KIF18A,USP9X,TDRD6,FKBP6,CIP2A,PIAS1,TP63,KDM1B,CCNB1IP1,CATSPERG,MEIOB,BBS4,BIK,BNC1,BMPR1B,PYGO2,BRCA2,BRDT,EIF2S2,RNF8,MAP7,MORN2,CCNB1,NEURL1,SOHLH1,CDC25C,DEDD,BMP15,PTTG1,CLGN,PIWIL1,TRIP13,POC1A,GAL3ST1,SYCP3,SPAG6,CTCFL,TESMIN,CEP57,ADAD1,KMT2B,DAZL,CNBD2,CABYR,SLC26A8,FBXO5,DIAPH2,DLD,DMRT1,JAM3,DNMT3A,BCL2L10,E2F1,ROPN1L,YBX2,ADGRG2,SPATA16,PLEKHA1,BSCL2,TDRP,BRIP1,KATNAL1,RPL39L,THEG,NPM2,MEI4,SYCP2,HOOK1,WFDC2,TESK2,SFMBT1,DRC7,RHBDD1,DEAF1,NLRP14,MTOR,MROH2B,HSPB11,STAG3,MORC1,MCM8,NR6A1,GDF9,ADAM28,EHMT2,SPATA22,TLK2,TDRKH,ADRM1,SOX30,HSF2BP,CIT,INSL6,WEE2,MAEL,MICALCL,HEXB,CATSPERD,HMGB2,HOXA10,AGFG1,HSF2,PROK2,NKD1,INPP5B,RAD21L1,JAG2,SGO2,KIT,ZGLP1,MAK,SPA17,BTBD18,MSH2,DDX25,GALNTL5,RACGAP1,PLD6,MYBL1,NEK1,NOBOX,OCA2,ODF2,PAFAH1B2,CCDC63,SYCE3,DND1,PGM3,LRGUK,MOV10L1,TAF7L,ASPM,PRMT7,PLK1,DDX4,SLC2A8,EQTN,ANKRD49,ALKBH5,PTGS2,ZSCAN2,SPAG16,RAD23B,RAD51C,MEIG1,ASZ1,FANCL,PIWIL2,SUV39H2,RGS2,MNS1,STRBP,C14orf39,DZIP1,ASF1B,CHTF18,SMARCA2,DMRTC2,PABPC1L,CFAP44,PIWIL3,SOD1,GTSF1,TOPAZ1,SRPK1,RNF114,AURKA,AURKC,DPEP3,PLCB1,TAF4B,TBP,TCP11,TEX15,RNF17,TDRD1,NCAPH,TDRD7,DDIAS,ICA1L,TSNAX,TTK,UBB,CADM1,OSBP2,CCDC42,ZSCAN21,FAM9B,FAM9C,SLC26A6,RAD18,TDRD9,MEIKIN,SPIRE1,ZP3,SHCBP1L,KNL1,TDRD5,M1AP,IFT88,SPDYA,FIGLA
GO: Biological Process	GO:0048232	male gamete generation	 	1.545E-17	1.550E-13	8.158E-15	7.987E-14	172	633	MKKS,KIF18A,TDRD6,FKBP6,CIP2A,PIAS1,TP63,CCNB1IP1,CATSPERG,MEIOB,BBS4,BIK,BNC1,PYGO2,BRCA2,BRDT,RNF8,MAP7,MORN2,CCNB1,NEURL1,SOHLH1,CDC25C,DEDD,PTTG1,CLGN,PIWIL1,TRIP13,POC1A,GAL3ST1,SYCP3,SPAG6,TESMIN,CEP57,ADAD1,DAZL,CNBD2,CABYR,SLC26A8,DLD,DMRT1,JAM3,DNMT3A,BCL2L10,E2F1,ROPN1L,YBX2,ADGRG2,SPATA16,PLEKHA1,BSCL2,TDRP,BRIP1,KATNAL1,RPL39L,THEG,MEI4,SYCP2,HOOK1,WFDC2,TESK2,SFMBT1,DRC7,RHBDD1,NLRP14,MROH2B,HSPB11,STAG3,MORC1,MCM8,NR6A1,ADAM28,EHMT2,TLK2,TDRKH,ADRM1,SOX30,HSF2BP,CIT,INSL6,MAEL,MICALCL,CATSPERD,HMGB2,HOXA10,AGFG1,HSF2,PROK2,NKD1,INPP5B,RAD21L1,JAG2,SGO2,KIT,ZGLP1,MAK,SPA17,BTBD18,DDX25,GALNTL5,RACGAP1,PLD6,MYBL1,NEK1,OCA2,ODF2,PAFAH1B2,CCDC63,SYCE3,PGM3,LRGUK,MOV10L1,TAF7L,ASPM,DDX4,SLC2A8,EQTN,ANKRD49,ALKBH5,ZSCAN2,SPAG16,RAD23B,RAD51C,MEIG1,ASZ1,PIWIL2,SUV39H2,RGS2,MNS1,STRBP,C14orf39,DZIP1,ASF1B,CHTF18,SMARCA2,DMRTC2,CFAP44,PIWIL3,SOD1,GTSF1,TOPAZ1,SRPK1,RNF114,AURKC,DPEP3,TAF4B,TBP,TCP11,TEX15,RNF17,TDRD1,TDRD7,DDIAS,ICA1L,TSNAX,UBB,CADM1,OSBP2,CCDC42,ZSCAN21,FAM9B,FAM9C,SLC26A6,RAD18,TDRD9,MEIKIN,SHCBP1L,KNL1,TDRD5,M1AP,IFT88,SPDYA
GO: Biological Process	GO:0019953	sexual reproduction	 	2.377E-17	2.385E-13	1.103E-14	1.080E-13	236	967	MKKS,KIF18A,ABAT,USP9X,ACR,ADCY3,TDRD6,FKBP6,CIP2A,PIAS1,TP63,KDM1B,CCNB1IP1,CATSPERG,ZP4,MEIOB,BBS4,BIK,BNC1,BMPR1B,PYGO2,BRCA2,BRDT,EIF2S2,RNF8,MAP7,MORN2,CCNB1,NEURL1,SOHLH1,CDK1,CDC25C,DEDD,BMP15,PTTG1,CLGN,PIWIL1,TRIP13,POC1A,GAL3ST1,SYCP3,SPAG6,CTCFL,TESMIN,CEP57,ADAD1,KMT2B,DAZL,CNBD2,CABYR,SLC26A8,FBXO5,DIAPH2,DLD,DMRT1,JAM3,DNMT3A,GNPDA1,BCL2L10,E2F1,ROPN1L,YBX2,ADGRG2,SPATA16,PLEKHA1,BSCL2,TDRP,BRIP1,KATNAL1,RPL39L,THEG,NPM2,MEI4,SYCP2,HOOK1,WFDC2,TESK2,SFMBT1,DRC7,RHBDD1,DEAF1,CCT2,HVCN1,NLRP14,MTOR,MROH2B,CCT8,HSPB11,STAG3,MORC1,MCM8,NR6A1,GDF9,ADAM28,B4GALT1,SLC9B1,EHMT2,SPATA22,TLK2,TDRKH,ADRM1,CECR2,SOX30,HSF2BP,CIT,INSL6,WEE2,MAEL,MICALCL,HEXB,CATSPERD,HMGB2,HOXA10,AGFG1,HSF2,NLRP5,PROK2,NKD1,IL12B,PLB1,INPP5B,RAD21L1,JAG2,SGO2,KIT,ZGLP1,MAK,SPA17,BTBD18,MSH2,DDX25,GALNTL5,RACGAP1,PLD6,MYBL1,NEK1,SNU13,NOBOX,OCA2,ODF2,OXT,PAFAH1B2,CCDC63,SYCE3,DND1,IZUMO1R,PGM3,LRGUK,MOV10L1,TAF7L,ASPM,PRMT7,PLK1,DDX4,SLC2A8,EQTN,LY6K,ANKRD49,PTEN,ALKBH5,PTGS2,ZSCAN2,SPAG16,RAD23B,RAD51C,MEIG1,ASZ1,FANCL,PIWIL2,SUV39H2,RGS2,MNS1,STRBP,TRIM36,C14orf39,DZIP1,ZP1,CCT5,ASF1B,CHTF18,SMARCA2,DMRTC2,DMRTA1,PABPC1L,RIMS1,CFAP44,PIWIL3,SOD1,GTSF1,TOPAZ1,SRPK1,RNF114,AURKA,AURKC,DPEP3,PLCB1,TAF4B,TBP,TCP1,TCP11,OOEP,TEX15,RNF17,TDRD1,NCAPH,TDRD7,TGM4,DDIAS,THRB,ICA1L,TSNAX,TTK,UBB,CADM1,OSBP2,CCDC42,ZSCAN21,FAM9B,FAM9C,SLC26A6,RAD18,TDRD9,MEIKIN,SPIRE1,ZP2,ZP3,SHCBP1L,KNL1,TDRD5,TRPC7,UBXN8,M1AP,AAAS,IFT88,SPDYA,FIGLA
GO: Biological Process	GO:0098762	meiotic cell cycle phase	 	2.418E-17	2.426E-13	1.103E-14	1.080E-13	58	127	RAD54L,CCNB1IP1,MEIOB,BRCA2,BRDT,PTTG1,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,FBXO5,DMRT1,RAD50,ANKRD31,BRIP1,MND1,MEI4,SYCP2,STAG3,EHMT2,SPATA22,WEE2,MAEL,SYCE1,RAD21L1,SGO2,MRE11,BTBD18,MSH3,MYBL1,SYCE3,MOV10L1,TERB1,PLK1,DDX4,SLC2A8,RAD51,RAD51C,RAD51B,PIWIL2,RMI1,TERB2,C14orf39,CHTF18,DMRTC2,TOPAZ1,AURKA,RNF212,TEX15,TEX12,TOP2B,TTK,UBB,TDRD9,MEIKIN,M1AP
GO: Biological Process	GO:0098764	meiosis I cell cycle phase	 	2.418E-17	2.426E-13	1.103E-14	1.080E-13	58	127	RAD54L,CCNB1IP1,MEIOB,BRCA2,BRDT,PTTG1,PIWIL1,TRIP13,CKS2,SYCP3,ESPL1,RNF212B,FBXO5,DMRT1,RAD50,ANKRD31,BRIP1,MND1,MEI4,SYCP2,STAG3,EHMT2,SPATA22,WEE2,MAEL,SYCE1,RAD21L1,SGO2,MRE11,BTBD18,MSH3,MYBL1,SYCE3,MOV10L1,TERB1,PLK1,DDX4,SLC2A8,RAD51,RAD51C,RAD51B,PIWIL2,RMI1,TERB2,C14orf39,CHTF18,DMRTC2,TOPAZ1,AURKA,RNF212,TEX15,TEX12,TOP2B,TTK,UBB,TDRD9,MEIKIN,M1AP
